id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20161123X536271,091,NONE,NORTHWING,NAVAJO,2.0,1.0,FIXD,1060.0,AIR,N,UNK,,,N,,,Y,PERS,N,8F5 ,100.0,8F5 ,N,N,10.0,PLT,M,No,N,,3,1,REC,Rotax,582,65.0,HP,CARB,FIXP,3
20190416X815311,091,NONE,AIRFRAMES UNLIMITED,OUTLAW,2.0,1.0,FIXD,500.0,PPAR,N,COND,,331.0,N,,,Y,PERS,N,,1900.0,,N,N,9947.0,PLT,M,No,N,CL1 ,3,1,REC,Rotax,582 Blue Head,65.0,HP,CARB,GRND,6
20110910X206381,091,NONE,AIR CREATION,TANARG,2.0,1.0,FIXD,,WSFT,N,COND,,,,,,Y,PERS,,OG01,2030.0,KCVO,N,N,239.0,PLT,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,4
20121223X316561,091,NONE,CHARLAND,VORTEX,1.0,1.0,FIXD,,GYRO,N,UNK,,,,,,Y,PERS,N,none,2100.0,none,N,N,126.0,PLT,,No,Y,,U,1,REC,ROTAX,582,65.0,HP,CARB,FIXP,6
20200406X312001,091,NONE,RANS S-12,Airaile,2.0,,FIXD,975.0,AIR,Y,UNK,,505.3999938964844,N,,,Y,PERS,N,,,,N,N,680.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,FIXP,3
20151202X819541,091,NONE,TAYLORCRAFT,BC12 65,2.0,1.0,FIXD,1500.0,AIR,N,ANNL,,2095.800048828125,Y,,,Y,PERS,N,82C ,1340.0,82C ,N,N,610.0,PLT,M,No,N,NONE,L,1,REC,Continental,A-65-8,65.0,HP,CARB,FIXP,6
20090803X522571,091,NONE,TAYLORCRAFT,BC12-65,2.0,1.0,FIXD,,AIR,N,,,,,,,Y,INST,N,3DA ,2100.0,3DA ,N,N,80.0,PLT,M,No,N,,,1,REC,CONT MOTOR,A&C65 SERIES,65.0,HP,CARB,,6
20130717X719051,091,UNK,TAYLORCRAFT,BC12-65,2.0,1.0,FIXD,1200.0,AIR,N,ANNL,37.0,4279.0,Y,,,Y,INST,Y,3DA ,1150.0,3DA ,N,N,4930.299999952316,FLTI,,Yes,Y,,,1,REC,CONT MOTOR,A-65-8,65.0,HP,CARB,,6
20080415X004871,091,NONE,Clutton Eric,Fred S1,1.0,1.0,FIXD,880.0,AIR,Y,ANNL,10.0,2289.0,N,,,Y,PERS,N,THA ,2149.0,THA ,N,N,4000.0,PLT,M,No,N,,,1,REC,Continental,A&C65,65.0,HP,CARB,,6
20170702X025211,091,NONE,SLIP STREAM,Genesis,2.0,1.0,FIXD,1400.0,AIR,N,COND,,,N,,,Y,PERS,N,PA01,2320.0,PA01,N,N,424.5,PLT,M,No,Y,,3,1,REC,ROTAX,582,65.0,HP,CARB,FIXP,6
